ticker,crsp_fundno,caldt,dnav,dret
LQD,016419,20150708,116.6900000,0.000514
LQD,016419,20150513,117.5200000,-0.001105
LQD,016419,20141028,119.3900000,-0.001422
LQD,016419,20140911,118.2600000,0.000508
LQD,016419,20150831,115.0700000,-0.001389
LQD,016419,20140630,119.1700000,0.000756
LQD,016419,20141006,118.8300000,0.002616
LQD,016419,20150529,118.6600000,0.001266
LQD,016419,20151019,116.5900000,-0.000086
LQD,016419,20151103,115.4900000,-0.002763
LQD,016419,20140806,118.6400000,0.000000
LQD,016419,20151116,115.0100000,0.000000
LQD,016419,20151006,115.8100000,0.003640
LQD,016419,20140904,119.0200000,-0.002932
LQD,016419,20160115,114.2500000,-0.000088
LQD,016419,20160203,113.3800000,-0.003340
LQD,016419,20160413,118.9500000,0.003713
LQD,016419,20151105,115.4300000,-0.000087
LQD,016419,20160527,119.0100000,-0.001594
LQD,016419,20151112,114.7100000,-0.002088
LQD,016419,20151123,115.5600000,0.000953
LQD,016419,20151215,114.0200000,-0.002799
LQD,016419,20150914,115.5200000,-0.000087
LQD,016419,20160209,113.7400000,-0.003679
LQD,016419,20160210,114.0100000,0.002374
LQD,016419,20160314,115.9900000,0.005374
LQD,016419,20160316,116.2900000,0.000430
LQD,016419,20160629,121.9600000,0.001972
LQD,016419,20161019,122.1500000,0.000901
LQD,016419,20160415,119.3700000,0.003447
LQD,016419,20160912,121.6200000,-0.000822
LQD,016419,20161205,116.5300000,0.000515
LQD,016419,20161130,116.7900000,-0.003413
LQD,016419,20160823,123.7700000,0.000566
LQD,016419,20160815,123.0800000,-0.002108
LQD,016419,20160804,122.7000000,0.004420
LQD,016419,20170106,117.4800000,-0.004407
LQD,016419,20170123,117.6300000,0.004783
LQD,016419,20170117,118.1500000,0.004079
LQD,016419,20160718,122.8200000,0.000815
LQD,016419,20170207,117.4600000,0.001791
LQD,016419,20181217,113.0100000,0.002484
LQD,016419,20170228,118.4200000,0.001776
LQD,016419,20181119,111.6900000,-0.000179
LQD,016419,20181017,112.9500000,-0.002032
LQD,016419,20180925,114.2400000,-0.001660
LQD,016419,20180918,114.3300000,-0.003921
LQD,016419,20180831,115.4900000,-0.000952
LQD,016419,20180726,115.1100000,-0.000781
LQD,016419,20131028,115.3000000,0.000000
LQD,016419,20170714,120.2400000,0.002251
LQD,016419,20131015,113.3400000,-0.002201
LQD,016419,20180621,113.9300000,-0.001665
LQD,016419,20180323,115.9000000,-0.001120
LQD,016419,20180215,117.1100000,0.004288
LQD,016419,20180306,116.5000000,0.002237
LQD,016419,20130719,114.9300000,0.003755
LQD,016419,20180409,116.9200000,0.000257
LQD,016419,20180308,116.4700000,0.001462
LQD,016419,20130723,115.1600000,-0.000174
LQD,016419,20171206,121.2900000,0.001156
LQD,016419,20171115,120.2200000,0.002084
LQD,016419,20171204,120.8100000,0.000083
LQD,016419,20180124,119.8000000,-0.001500
LQD,016419,20180216,117.2500000,0.001195
LQD,016419,20130802,113.8900000,0.005207
LQD,016419,20130710,113.1300000,0.000177
LQD,016419,20130725,114.1700000,-0.003143
LQD,016419,20180122,119.6500000,-0.001752
LQD,016419,20130722,115.1800000,0.002175
LQD,016419,20171212,120.8600000,-0.000083
LQD,016419,20170718,120.9100000,0.003902
LQD,016419,20171016,121.2500000,-0.001729
LQD,016419,20180327,116.5600000,0.005174
LQD,016419,20170927,120.6500000,-0.004784
LQD,016419,20170908,121.2800000,-0.001235
LQD,016419,20180511,114.9600000,0.001655
LQD,016419,20170821,120.7600000,0.000995
LQD,016419,20180521,114.1200000,0.000263
LQD,016419,20180614,114.5900000,0.002976
LQD,016419,20130923,113.0800000,0.000619
LQD,016419,20180711,115.1800000,0.001478
LQD,016419,20131014,113.5900000,0.000352
LQD,016419,20131003,113.4700000,0.001854
LQD,016419,20180727,115.3600000,0.002172
LQD,016419,20180717,115.2600000,-0.000694
LQD,016419,20180815,115.5400000,0.002603
LQD,016419,20131025,115.3000000,0.000607
LQD,016419,20170418,119.3900000,0.005813
LQD,016419,20170526,119.6200000,0.000586
LQD,016419,20170508,117.9800000,-0.001185
LQD,016419,20180917,114.7800000,-0.000261
LQD,016419,20181004,113.2100000,-0.003433
LQD,016419,20170509,117.8700000,-0.000932
LQD,016419,20181010,112.8000000,-0.003005
LQD,016419,20170420,118.8200000,-0.002770
LQD,016419,20181101,111.9100000,0.000350
LQD,016419,20181031,112.2400000,-0.002311
LQD,016419,20170329,117.8300000,0.002638
LQD,016419,20170331,117.7000000,0.001191
LQD,016419,20181126,111.9400000,0.001431
LQD,016419,20170322,117.4900000,0.002560
LQD,016419,20171027,120.7100000,0.001992
LQD,016419,20181212,112.4800000,0.001781
LQD,016419,20181227,112.3200000,0.001873
LQD,016419,20170130,117.0100000,-0.001280
LQD,016419,20160715,122.7200000,-0.004381
LQD,016419,20170125,116.6800000,-0.002991
LQD,016419,20160810,123.3900000,0.003252
LQD,016419,20160412,118.5100000,-0.003783
LQD,016419,20161216,115.5100000,-0.002246
LQD,016419,20160421,119.2700000,0.001343
LQD,016419,20161110,118.5300000,0.000422
LQD,016419,20161122,116.7100000,0.001545
LQD,016419,20160927,123.0800000,0.001546
LQD,016419,20161025,121.9200000,0.000410
LQD,016419,20161012,121.6100000,-0.000411
LQD,016419,20160217,112.8600000,-0.001416
LQD,016419,20170119,117.0600000,-0.004084
LQD,016419,20170214,116.9900000,-0.002132
LQD,016419,20160105,114.0100000,-0.001139
LQD,016419,20160606,119.8300000,-0.001000
LQD,016419,20160608,120.3200000,0.002166
LQD,016419,20160506,119.4100000,-0.003837
LQD,016419,20160610,120.6900000,0.001244
LQD,016419,20160509,119.5000000,0.000754
LQD,016419,20160511,119.8200000,0.002258
LQD,016419,20151119,115.5500000,0.003474
LQD,016419,20151106,114.7200000,-0.006151
LQD,016419,20160331,118.4500000,0.003814
LQD,016419,20160311,115.3700000,0.001563
LQD,016419,20160205,113.5700000,0.000970
LQD,016419,20150930,115.7900000,-0.001810
LQD,016419,20160201,113.1500000,-0.003887
LQD,016419,20160126,113.7700000,0.000704
LQD,016419,20151113,115.0100000,0.002615
LQD,016419,20150827,115.0700000,0.003488
LQD,016419,20151109,114.7400000,0.000174
LQD,016419,20151120,115.4500000,-0.000865
